                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5714,                 1.8084,                 1.4988,                0.67822,                 0.4242,                0.47439,                0.24532,                 1.7445,                 1.7963,                 1.6602,              0.0003466,              0.0003466,              0.0003466
                     35,                 1.5739,                 1.7669,                 1.4923,                0.66414,                0.45183,                0.47375,                0.24382,                 1.7551,                 1.8071,                  1.672,              0.0003268,              0.0003268,              0.0003268
                     36,                 1.5581,                 1.7567,                 1.4822,                0.45836,                0.54309,                0.49905,                0.24699,                 1.7647,                 1.7874,                 1.6722,               0.000307,               0.000307,               0.000307
                     37,                 1.5547,                 1.7451,                 1.4794,                0.67266,                0.44951,                  0.488,                0.25031,                 1.7524,                 1.7726,                 1.6696,              0.0002872,              0.0002872,              0.0002872
                     38,                 1.5531,                 1.7187,                 1.4744,                 0.6907,                0.44267,                0.48849,                0.25288,                 1.7462,                 1.7758,                 1.6589,              0.0002674,              0.0002674,              0.0002674
                     39,                 1.5421,                 1.7022,                 1.4673,                0.53967,                0.54194,                0.51755,                0.25927,                  1.756,                 1.7475,                 1.6711,              0.0002476,              0.0002476,              0.0002476
                     40,                 1.5335,                 1.7007,                 1.4621,                0.56777,                  0.488,                0.50185,                0.26042,                 1.7585,                 1.7612,                 1.6606,              0.0002278,              0.0002278,              0.0002278
                     41,                  1.539,                 1.5938,                 1.5086,                0.61627,                0.47543,                0.50249,                0.25836,                 1.7563,                 1.7358,                 1.6549,               0.000208,               0.000208,               0.000208
                     42,                 1.5295,                  1.552,                 1.5049,                0.46687,                 0.4907,                0.49943,                0.26444,                 1.7351,                 1.7203,                 1.6523,              0.0001882,              0.0001882,              0.0001882
                     43,                 1.5124,                 1.5288,                 1.5009,                0.54173,                 0.5065,                0.51969,                0.26989,                 1.7439,                 1.7177,                 1.6637,              0.0001684,              0.0001684,              0.0001684
                     44,                 1.4933,                 1.4987,                 1.4803,                0.65886,                 0.5192,                0.53736,                0.27798,                   1.73,                 1.6928,                 1.6494,              0.0001486,              0.0001486,              0.0001486
                     45,                 1.4943,                 1.4875,                 1.4779,                0.56063,                0.52088,                0.53188,                0.27732,                 1.7329,                 1.6906,                 1.6529,              0.0001288,              0.0001288,              0.0001288
                     46,                 1.4721,                  1.465,                 1.4625,                0.61157,                0.53669,                  0.543,                0.27826,                 1.7351,                 1.6904,                 1.6524,               0.000109,               0.000109,               0.000109
                     47,                 1.4666,                 1.4407,                  1.457,                0.64658,                0.49529,                0.53901,                0.27844,                 1.7371,                 1.6778,                  1.655,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                 1.4447,                 1.4163,                  1.444,                0.59353,                0.53353,                0.54168,                0.27951,                 1.7368,                 1.6805,                 1.6531,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                 1.4607,                 1.4204,                 1.4541,                0.58862,                0.53915,                0.54184,                0.28238,                 1.7371,                 1.6768,                 1.6534,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                 1.4459,                 1.4011,                 1.4472,                0.62666,                0.50644,                0.54321,                0.28054,                 1.7396,                 1.6758,                 1.6589,               2.98e-05,               2.98e-05,               2.98e-05
